name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,conversion

t6_s12_fire_plr,,t6/s12/t6_s12_fire.wav,0.94,0.94,max,1,1,5000,,local,,,,0.85,,,,t6_s12_fire_ringoff_plr,weapon2,,,,
t6_s12_fire_ringoff_plr,,t6/s12/t6_s12_fire_ringoff.wav,0.5,0.5,max,1,1,5000,,local2,,,,0.85,,,,,weapon2,,,,
t6_s12_fire_ringoff_npc,,t6/s12/t6_s12_fire_ringoff.wav,0.1,0.1,max,1,1,8500,,auto2,,,,0.7,all_mp,,,,weapon4
t6_s12_fire_npc,,t6/s12/t6_s12_fire.wav,0.88,0.88,wpnai,1,1,35,8500,weapon,,,,0.7,all_mp,,,t6_s12_fire_ringoff_npc,weapon4

t6_s12_futz,,t6/s12/t6_s12_futz.wav,1,1,wpnplyr,1,1,7,500,player1,,,,0.85,,,,,weapon2
t6_s12_mag_in,,t6/s12/t6_s12_mag_in.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2
t6_s12_mag_out,,t6/s12/t6_s12_mag_out.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2
t6_s12_pull,,t6/s12/t6_s12_pull.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2
t6_s12_release,,t6/s12/t6_s12_release.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2

t6_s12_reload_npc,,t6/s12/t6_s12_reload_npc.wav,0.8,0.8,wpnai,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
