name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,conversion

t4_k98_fire_plr,,t4/k98/t4_k98_fire_plr.wav,1,1,max,1,1,5000,,local,,,,0.85,,,,t4_k98_fire_lyr_plr,weapon2,,,,
t4_k98_fire_lyr_plr,,t4/k98/t4_k98_fire_lyr_plr.wav,1,1,max,1,1,5000,,local2,,,,0.85,,,,,weapon2,,,,
t4_k98_fire_npc,1,t4/k98/t4_k98_npc_01.wav,1,1,wpnai,1,1,35,8500,weapon,,,,0.7,all_mp,,,,weapon4
t4_k98_fire_npc,2,t4/k98/t4_k98_npc_02.wav,1,1,wpnai,1,1,35,8500,weapon,,,,0.7,all_mp,,,,weapon4
t4_k98_fire_npc,3,t4/k98/t4_k98_npc_03.wav,1,1,wpnai,1,1,35,8500,weapon,,,,0.7,all_mp,,,,weapon4
t4_k98_fire_npc,4,t4/k98/t4_k98_npc_04.wav,1,1,wpnai,1,1,35,8500,weapon,,,,0.7,all_mp,,,,weapon4


t4_k98_bb,,t4/k98/t4_k98_bb.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2
t4_k98_bd,,t4/k98/t4_k98_bd.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2
t4_k98_bf,,t4/k98/t4_k98_bf.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2
t4_k98_bu,,t4/k98/t4_k98_bu.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2
t4_k98_shell_in,1,t4/k98/t4_k98_shell_in_01.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2
t4_k98_shell_in,2,t4/k98/t4_k98_shell_in_02.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2
