name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,conversion

t5_m60_fire_plr,1,t5/m60/t5_m60_fire_1.wav,1,1,max,1,1.03,5000,,local,,,,0.85,,,,t5_m60_fire_ringoff_plr,weapon2,,,,
t5_m60_fire_plr,2,t5/m60/t5_m60_fire_2.wav,1,1,max,1,1.03,5000,,local,,,,0.85,,,,t5_m60_fire_ringoff_plr,weapon2,,,,
t5_m60_fire_plr,3,t5/m60/t5_m60_fire_3.wav,1,1,max,1,1.03,5000,,local,,,,0.85,,,,t5_m60_fire_ringoff_plr,weapon2,,,,
t5_m60_fire_plr,4,t5/m60/t5_m60_fire_4.wav,1,1,max,1,1.03,5000,,local,,,,0.85,,,,t5_m60_fire_ringoff_plr,weapon2,,,,
t5_m60_fire_ringoff_plr,,t5/m60/t5_m60_fire_ringoff.wav,0.9,0.9,max,1.05,1.05,5000,,local2,,,,0.85,,,,,weapon2,,,,
t5_m60_fire_ringoff_npc,,t5/m60/t5_m60_fire_ringoff.wav,0.1,0.1,max,1,1,8500,,auto2,,,,0.7,all_mp,,,,weapon4
t5_m60_fire_npc,1,t5/m60/t5_m60_fire_1.wav,0.5,0.5,max,1,1,35,7500,weapon,,,,0.7,all_mp,,,t5_m60_fire_ringoff_npc,weapon4
t5_m60_fire_npc,2,t5/m60/t5_m60_fire_2.wav,0.5,0.5,max,1,1,35,7500,weapon,,,,0.7,all_mp,,,t5_m60_fire_ringoff_npc,weapon4
t5_m60_fire_npc,3,t5/m60/t5_m60_fire_3.wav,0.5,0.5,max,1,1,35,7500,weapon,,,,0.7,all_mp,,,t5_m60_fire_ringoff_npc,weapon4
t5_m60_fire_npc,4,t5/m60/t5_m60_fire_4.wav,0.5,0.5,max,1,1,35,7500,weapon,,,,0.7,all_mp,,,t5_m60_fire_ringoff_npc,weapon4

t5_m60_1st_bonk,,t5/m60/t5_m60_1st_bonk.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_2nd_bonk,,t5/m60/t5_m60_2nd_bonk.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_box_off,,t5/m60/t5_m60_box_off.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_box_on,,t5/m60/t5_m60_box_on.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_charge,,t5/m60/t5_m60_charge.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_close,,t5/m60/t5_m60_close.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_futz,,t5/m60/t5_m60_futz.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_lid_close,,t5/m60/t5_m60_lid_close.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_lid_flip,,t5/m60/t5_m60_lid_flip.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_open,,t5/m60/t5_m60_open.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_place_belt,,t5/m60/t5_m60_place_belt.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
t5_m60_pull_belt,,t5/m60/t5_m60_pull_belt.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

fly_gear_reload_plr,1,t5/gear/fly_gear_reload_plr_00.wav,1,1,wpnplyr,1,1,7,500,effects1,,,,0.85,,,,,weapon2,
fly_gear_reload_plr,2,t5/gear/fly_gear_reload_plr_01.wav,1,1,wpnplyr,1,1,7,500,effects1,,,,0.85,,,,,weapon2,
fly_gear_reload_plr,3,t5/gear/fly_gear_reload_plr_02.wav,1,1,wpnplyr,1,1,7,500,effects1,,,,0.85,,,,,weapon2,
fly_gear_reload_plr,4,t5/gear/fly_gear_reload_plr_03.wav,1,1,wpnplyr,1,1,7,500,effects1,,,,0.85,,,,,weapon2,
